id,brand,model,type,availability,link,image_link
MX2102-vento-ovni-170,Vento,Ovni 170,Motoneta,in stock,https://www.galgo.com/MX/motos/MX2102-vento-ovni-170,https://images.ctfassets.net/8zlbnewncp6f/77sca2pv0ArzRAN9C07fI6/79f639fbebfe7f25a2d1c4e75017ebf1/vento-ovni-170-primer-plano.png
MX3054-dinamo-b-52,Dinamo,B-52,Chopper,in stock,https://www.galgo.com/MX/motos/MX3054-dinamo-b-52,https://images.ctfassets.net/8zlbnewncp6f/5Lq7uH1nxiiwu579r109Ni/841b49237806b68cf005f588c69a42d8/Dinamo_B-52_Imagen_principal_Galgo_México.png
MX2862-vento-colt-300,Vento,Colt 300,Chopper,in stock,https://www.galgo.com/MX/motos/MX2862-vento-colt-300,https://images.ctfassets.net/8zlbnewncp6f/4msSe8m92kMH8ctwsWrVir/94d30d9e635562c3a7cd25048cf0379f/Vento_Colt_300_Imagen_principal_Galgo_M_xico.jpg
MX1277-italika-ft-150,Italika,FT 150,Trabajo,in stock,https://www.galgo.com/MX/motos/MX1277-italika-ft-150,https://images.ctfassets.net/8zlbnewncp6f/2RFhS8ujipy2MprlQcmJwT/466527a3bd1365d018b14e7de6bb2cd5/italika-ft-150-primer-plano.png
MX977-vento-phantom-s-170,Vento,Phantom S 170,Motoneta,in stock,https://www.galgo.com/MX/motos/MX977-vento-phantom-s-170,https://images.ctfassets.net/8zlbnewncp6f/5AbPiKLUE7BtCh9UMI77lb/b1c55359e99a3ab4187c8726108ee93e/Vento_Phantom_S_170_-_Galgo_M_xico_Principal.jpg
MX1012-vento-ryder-190,Vento,Ryder 190,Trabajo,out of stock,https://www.galgo.com/MX/motos/MX1012-vento-ryder-190,https://images.ctfassets.net/8zlbnewncp6f/509p8dr7mzcXOJcYMjswVp/e2a1d0f82c05b4fef9275a8e13bff3b1/Vento_Ryder_190_-_Galgo_M_xico_Principal.jpg
MX961-suzuki-burgman,Suzuki,Burgman,Motoneta,in stock,https://www.galgo.com/MX/motos/MX961-suzuki-burgman,https://images.ctfassets.net/8zlbnewncp6f/58HL8qqJBP2EriRvGRBSd8/73ddbc9f15d27a46dcfc037ea7ca4b5a/Suzuki_Burgman_Galgo_M_xico.png
MX2977-vento-rambler-125,Vento,Rambler 125,Trabajo,in stock,https://www.galgo.com/MX/motos/MX2977-vento-rambler-125,https://images.ctfassets.net/8zlbnewncp6f/5b2H8Ptk5NmZVVGEl523jc/d71de9b4114c42c8e81d7a7ba83a50e8/Vento_Rambler_125_Imagen_principal_Galgo_México.png
MX3074-dinamo-renegada-250,Dinamo,Renegada 250,Chopper,in stock,https://www.galgo.com/MX/motos/MX3074-dinamo-renegada-250,https://images.ctfassets.net/8zlbnewncp6f/34N6PRoiOqvKHcDDDeNBED/cae542c6dccc095d5db9fdacc80c0bec/Dinamo_Renegada_250_Imagen_principal_Galgo_México.png
MX2959-cf-moto-675nk,CF Moto,675NK,Deportiva,in stock,https://www.galgo.com/MX/motos/MX2959-cf-moto-675nk,https://images.ctfassets.net/8zlbnewncp6f/7AhrKejSEiVLzCPKxMOPWT/80dc24d31a5f76a376b757a24d6d9c02/CF_Moto_275NK_Imagen_principal_Galgo_México.png
MX2625-cf-moto-zforce-950-sport,CF Moto,ZFORCE 950 Sport,ATV,in stock,https://www.galgo.com/MX/motos/MX2625-cf-moto-zforce-950-sport,https://images.ctfassets.net/8zlbnewncp6f/ZIYGvwGsUvGQYEClyadat/1b637576fea8a8aa436eaad9e413d1d0/Zforce_950_Sport_Imagen_principal_Galgo_M_xico.jpg
MX3018-tvs-rr-310-top,TVS,RR 310 TOP,Deportiva,out of stock,https://www.galgo.com/MX/motos/MX3018-tvs-rr-310-top,https://images.ctfassets.net/8zlbnewncp6f/3DFNCWku4A3pUuItslvzWW/4055fa2716cd80e8e17751a2b19d84dd/TVS_RR_310_Top_Imagen_principal_Galgo_México.png
MX648-vento-terra-s-170,Vento,Terra S 170,Motoneta,in stock,https://www.galgo.com/MX/motos/MX648-vento-terra-s-170,https://images.ctfassets.net/8zlbnewncp6f/5q6DcoBCjs4v9YBcZbGp7v/85fcad655ce62131937033f1698e1825/Vento_Terra_S_170_-_Galgo_M__xico_Principal.jpg
MX2990-vento-ovni-track-170,Vento,Ovni Track 170,Motoneta,in stock,https://www.galgo.com/MX/motos/MX2990-vento-ovni-track-170,https://images.ctfassets.net/8zlbnewncp6f/5oISPwy8fLs7Q9QImmaR0w/75369288e74e3f14dd49e0ad131a4d45/MB_Ovni_Track_Galeria4_Galgo_México.jpg
MX1214-yamaha-yz65-2023,Yamaha,YZ65,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX1214-yamaha-yz65-2023,https://images.ctfassets.net/8zlbnewncp6f/eN7aOS5sQQOEe24KgmV3N/6b484688568bec294a6740f0a0ea2983/Yamaha_YZ_65.png
